net,length_um
clknet_2_0__leaf_CLK,105.56
clknet_2_3__leaf_CLK,99.46
clknet_2_1__leaf_CLK,92.14
clknet_2_2__leaf_CLK,86.72
_082_,79.78
x7.A,70.13
_079_,68.045
_087_,64.16
x8.A,58.41
x14.B,55.16
CLK,53.83
x4.A,52.74
clknet_0_CLK,52.45
_106_,51.74
_107_,51.26
x13.B,50.12
x66.G1,49.54
net33,48.56
x2.A,48.46
_100_,48.26
net9,46.485
x2.B,45.68
x15.A,45.2
x1.A,44.22
_103_,42.48
net11,42.465
x11.A,40.92
x82.Si,40.865
x15.B,40.7
_118_,39.98
_089_,39.72
net10,39.525
_085_,39.51
net23,39.325
_102_,39.04
_124_,38.72
_109_,38.28
_071_,38.16
x4.B,37.46
x92.Si,37.315
x9.B,37.2
x16.B,37.14
x16.A,36.72
x84.Si,36.665
_021_,35.14
x94.Si,34.24
x3.B,34.13
_120_,33.44
net25,32.745
x3.A,31.87
_050_,31.68
net21,31.585
_068_,31.58
_016_,31.06
_095_,31
x11.B,31
_086_,30.74
_122_,30.6
_084_,30.46
x86.Si,30.24
_080_,30.2
x1.B,29.92
net22,29.825
_097_,29.78
_013_,29.37
_010_,28.06
x14.A,27.9
net20,27.265
B[0],26.26
net26,26.145
x13.A,25.56
S[0],25.43
x90.Si,25.4
x10.B,25.38
_099_,25.22
x12.B,24.34
_108_,24.22
x8.B,24.06
_113_,22.94
x88.Si,22.685
Cout,22.43
_053_,21.42
_017_,21.26
x7.B,21.06
_055_,20.82
S[15],20.67
_000_,20.62
S[1],20.41
net42,20.1
_038_,19.85
x12.A,19.56
_024_,19.48
_019_,19.4
_048_,19.4
_014_,19.32
_006_,19.04
_042_,18.52
net6,18.445
B[1],18.14
_041_,18
_067_,18
x9.A,17.9
_083_,17.7
_001_,17.6
x10.A,17.4
_090_,17.36
_037_,17.14
_035_,16.9
net40,16.76
_022_,16.56
A[0],16.36
_036_,16.24
_015_,15.96
net29,15.225
x5.A,15.16
_093_,15.06
_105_,14.96
_012_,14.84
A[15],14.68
x66.G,14.62
x5.B,14.6
x97.Si,14.525
_007_,14.34
_126_,14.04
x93.Si,13.9
x91.Si,13.585
_011_,13.58
B[15],13.32
_004_,13.22
A[1],13.14
_025_,13.1
S[2],12.89
net5,12.785
_076_,12.76
_110_,12.7
_112_,12.62
_030_,12.54
A[2],12.38
_121_,12.16
_101_,12
net24,11.945
A[13],11.92
_115_,11.84
_002_,11.76
net7,11.625
A[8],11.46
S[14],11.43
_098_,11.04
B[2],11.02
A[10],11
A[11],11
A[14],11
A[3],11
A[7],11
_081_,10.8
_075_,10.62
B[13],10.56
net35,10.18
_031_,10.16
A[12],10.08
A[4],10.08
A[5],10.08
A[6],10.08
A[9],10.08
_028_,10.02
net32,9.985
net47,9.86
net17,9.785
x85.Si,9.78
B[10],9.64
B[11],9.64
B[12],9.64
B[14],9.64
B[3],9.64
_058_,9.28
net2,9.245
_063_,9.2
x95.Si,9.185
B[8],9.18
_111_,9.18
_066_,9.14
net13,9.045
x96.Si,8.985
net27,8.985
x89.Si,8.84
_072_,8.78
B[4],8.72
B[5],8.72
B[6],8.72
B[7],8.72
B[9],8.72
_062_,8.6
_045_,8.48
_046_,8.28
_125_,8.24
net49,8.06
_044_,8.04
S[9],8.03
net19,7.985
_104_,7.98
net34,7.98
net14,7.805
_065_,7.66
S[8],7.33
_029_,7.18
net8,6.96
net16,6.885
net31,6.885
_008_,6.72
_054_,6.72
_116_,6.72
x6.A,6.72
S[5],6.65
_027_,6.64
_119_,6.6
net30,6.54
_092_,6.5
net15,6.305
_094_,6.3
x6.B,6.28
_073_,6.26
_123_,6.18
net41,6.18
_056_,6.16
_032_,6.14
_088_,6.08
Cin,5.97
_091_,5.94
net28,5.765
_018_,5.74
S[7],5.65
net18,5.62
_049_,5.53
_005_,5.34
_033_,5.22
net4,5.215
_064_,5.14
net3,5.095
S[4],4.95
S[6],4.95
_051_,4.88
S[10],4.61
S[11],4.61
S[12],4.61
S[13],4.61
S[3],4.61
_060_,4.46
net43,4.46
x83.Si,4.265
_003_,4
_059_,3.9
_040_,3.54
_070_,3.54
net1,3.465
x87.Si,3.345
_077_,3.3
_039_,3.1
net48,3.08
net50,3.08
_052_,2.96
_096_,2.96
net39,2.96
net12,2.715
_114_,2.64
_047_,2.62
_020_,2.5
_026_,2.5
_127_,2.5
_061_,2.3
_009_,2.18
_117_,2.16
_057_,2.06
_043_,2.04
net36,2.04
net37,2.04
net38,2.04
net44,2.04
_074_,1.72
_023_,1.7
_034_,1.7
_078_,1.7
net45,1.7
net46,1.7
_069_,1.26
